iter	Logloss
0	0.68147966
1	0.6682423139
2	0.6569053901
3	0.6473461391
4	0.6377855085
5	0.6280374659
6	0.6179277226
7	0.6088451227
8	0.6017929153
9	0.5956311802
10	0.5900217146
11	0.5827732607
12	0.5756080384
13	0.570209393
14	0.565433327
15	0.5599764397
16	0.5545542076
17	0.55001716
18	0.5451471486
19	0.5408738316
20	0.5372562076
21	0.5323348543
22	0.528977272
23	0.5262816755
24	0.5234471986
25	0.5207378
26	0.5179253
27	0.5153548156
28	0.5133539672
29	0.5103656901
30	0.5083174767
31	0.5062592049
32	0.5041636324
33	0.5007474124
34	0.4988435276
35	0.4973553688
36	0.4953279081
37	0.493542767
38	0.4920416837
39	0.4902699947
40	0.4887649415
41	0.4872418012
42	0.4845146904
43	0.4830109425
44	0.4815565101
45	0.479825446
46	0.477516983
47	0.474966143
48	0.4736325705
49	0.4724372675
50	0.4711685334
51	0.4703987367
52	0.4678637099
53	0.4668086498
54	0.4648552807
55	0.4638841551
56	0.4626985671
57	0.4611267337
58	0.4602675551
59	0.4593770104
60	0.4586614818
61	0.4579928685
62	0.4569433651
63	0.4562654797
64	0.4554713396
65	0.4550205424
66	0.4543879009
67	0.4529864322
68	0.4521237201
69	0.4509858169
70	0.4505903064
71	0.4502682084
72	0.4498840587
73	0.4493183706
74	0.4488043192
75	0.4483351985
76	0.447479071
77	0.4471529168
78	0.4459269194
79	0.4453646447
80	0.4447096512
81	0.4441950723
82	0.4437439013
83	0.4431778669
84	0.4424801319
85	0.4419417597
86	0.4414342319
87	0.4408915009
88	0.4403027961
89	0.4399630958
90	0.4393255651
91	0.4386609562
92	0.4380469325
93	0.437707663
94	0.4371343765
95	0.4361699933
96	0.4358075257
97	0.4355171519
98	0.4346495618
99	0.4341043072
100	0.4333413716
101	0.4330366209
102	0.4327129551
103	0.4323823804
104	0.4321622661
105	0.4318979354
106	0.4316707954
107	0.4311417958
108	0.4308590274
109	0.4305539567
110	0.4303202271
111	0.4298419912
112	0.4296523622
113	0.4288271762
114	0.4285309765
115	0.4281833646
116	0.4279333403
117	0.4277023194
118	0.4275340128
119	0.4267822564
120	0.4263057839
121	0.4260736721
122	0.4257696713
123	0.425525876
124	0.4252442317
125	0.4249063661
126	0.4246610284
127	0.4242957532
128	0.4240272057
129	0.4237146408
130	0.4235199485
131	0.4233464797
132	0.4227995369
133	0.422671621
134	0.4224621057
135	0.4221500463
136	0.4218827501
137	0.4215826559
138	0.4210823432
139	0.4207692795
140	0.4203747579
141	0.4201644342
142	0.4198419419
143	0.4196422308
144	0.4194662881
145	0.4192371695
146	0.4189599518
147	0.4186573221
148	0.41842093
149	0.4182347878
150	0.4178091322
151	0.4175912261
152	0.4173726067
153	0.4169049321
154	0.4167296634
155	0.4164595988
156	0.41584994
157	0.4157260964
158	0.4154862808
159	0.4153897905
160	0.4146067403
161	0.4142371176
162	0.4140490619
163	0.4138637546
164	0.4136365329
165	0.4133736126
166	0.4130448505
167	0.4128615365
168	0.4126925374
169	0.4125120123
170	0.4120072789
171	0.4118754381
172	0.4115064328
173	0.411316563
174	0.4110750094
175	0.4108474872
176	0.4105529952
177	0.4103692393
178	0.4101378433
179	0.4099898953
180	0.4097096374
181	0.4095113327
182	0.4094007369
183	0.4091292598
184	0.4090385285
185	0.4088755631
186	0.4086594333
187	0.4085493623
188	0.4083680857
189	0.4081270668
190	0.4080311461
191	0.4078389768
192	0.4076771503
193	0.4074696262
194	0.4071932517
195	0.4071088071
196	0.4070021001
197	0.4065551571
198	0.4064163181
199	0.4060447116
200	0.4056375208
201	0.4054538878
202	0.4052912497
203	0.404983067
204	0.4047810059
205	0.4045793509
206	0.404310736
207	0.4041757502
208	0.4040814733
209	0.4036882202
210	0.4035427181
211	0.4033591043
212	0.4031514972
213	0.402570441
214	0.4022405308
215	0.402006307
216	0.4018743585
217	0.4016721666
218	0.4014741209
219	0.4012668924
220	0.4010946653
221	0.400970994
222	0.4008308049
223	0.400621897
224	0.40039152
225	0.4001800917
226	0.4000510294
227	0.3998036436
228	0.3996539657
229	0.399432395
230	0.3990919865
231	0.3988161206
232	0.3986132739
233	0.3982929729
234	0.3981083087
235	0.3979358396
236	0.3978033234
237	0.3976673144
238	0.3975338471
239	0.3973732386
240	0.3972587648
241	0.3970637507
242	0.3968319953
243	0.3967492071
244	0.3965994173
245	0.3964483592
246	0.3960889405
247	0.3958972241
248	0.3957217268
249	0.395606808
250	0.3954102723
251	0.3951570271
252	0.3949675705
253	0.3945705673
254	0.3944194904
255	0.3941074183
256	0.3937550196
257	0.3935377528
258	0.3934523272
259	0.3931757678
260	0.3930849174
261	0.3929134604
262	0.3927316485
263	0.3925414169
264	0.3922293119
265	0.3920126947
266	0.3917941566
267	0.3916582434
268	0.3915043082
269	0.3913408076
270	0.3910481398
271	0.3908618905
272	0.3907689604
273	0.3906952849
274	0.3904904181
275	0.3904082956
276	0.3903157647
277	0.390205003
278	0.390097586
279	0.3899491684
280	0.3898688813
281	0.3897411773
282	0.3895833512
283	0.3894694446
284	0.3893376908
285	0.3890934312
286	0.3890043448
287	0.3888256565
288	0.388648004
289	0.3885189189
290	0.3883474456
291	0.3881978048
292	0.3880896846
293	0.3876665035
294	0.3874009276
295	0.3872335432
296	0.3870155079
297	0.3868498761
298	0.3867111648
299	0.3865276948
300	0.3862572414
301	0.3861709913
302	0.3859200345
303	0.3856079111
304	0.3854235733
305	0.3852139026
306	0.3849579133
307	0.3844494989
308	0.3840268539
309	0.3838004927
310	0.3836544094
311	0.383388942
312	0.3831230007
313	0.3828969686
314	0.3827736552
315	0.3824822326
316	0.3823242596
317	0.3821796829
318	0.3819767814
319	0.3818728909
320	0.3817377767
321	0.3815879496
322	0.3813787684
323	0.3810153845
324	0.3808120088
325	0.3806577903
326	0.3804125422
327	0.380125052
